script	placement	placement_reason	scale_class	confidence_10tb	confidence_50tb	scale_reason	prerequisites	risk_flags	disposable_runtime	read_only_runtime	pg_monitor_runtime
00_environment/01_server_instance_overview.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
00_environment/02_extensions_installed.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
00_environment/03_database_catalog_overview.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
01_database_size/01_databases_size.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
01_database_size/02_current_database_size_breakdown.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
01_database_size/03_tablespaces_size.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
02_table_storage/01_table_size_breakdown.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
02_table_storage/02_top_largest_tables.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
02_table_storage/03_table_growth_baseline_snapshot.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
02_table_storage/04_relation_storage_parameters.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
03_index_analysis/01_index_size_and_usage.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
03_index_analysis/02_unused_indexes_candidates.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
03_index_analysis/03_duplicate_indexes.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
