script	active_severity_or_advisory_keywords	filter_design	configurable_settings	severity_conditions	row_filter_criteria	evidence_basis	rule_evaluation_confidence	root_cause_confidence	confidence_reason	interpretation_limit	threshold_review_status
00_environment/01_server_instance_overview.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
00_environment/02_extensions_installed.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
00_environment/03_database_catalog_overview.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE nspname !~ '^pg_' AND nspname <> 'information_schema' || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
01_database_size/01_databases_size.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
01_database_size/02_current_database_size_breakdown.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
01_database_size/03_tablespaces_size.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
02_table_storage/01_table_size_breakdown.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
02_table_storage/02_top_largest_tables.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema'	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
02_table_storage/03_table_growth_baseline_snapshot.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
02_table_storage/04_relation_storage_parameters.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm', 'p') || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
